,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
5687,2311786,CScout Japan,Shift East - Every photo has its place.,Media,,2,"Tokyo, Japan",,,,Japan,Tokyo,
5905,1315500,DomainInvesting.com,Online publication covering the business of domain name investing and the domain name industry,Media,Fintech,2,"United States, Wellesley",,,02481,United States,Wellesley,investing
5923,1529295,Duart,Online tool which gathers actors from the region,Media,,2,"Croatia, Zagreb",,,10000,Croatia,Zagreb,Search Engine
5929,1832440,PM SA,,Media,,2,"France, Paris, Boulevard de Courcelles, 29",Boulevard de Courcelles,29,75008,France,Paris,
5954,984195,Wall-Street ro,"Wall-Street ro is a newspaper that publishes content on economy, business, capital markets, investments, startups, finance, and more",Media,,2,"Romania, Bucharest",,,,Romania,Bucharest,"Broadcast,Retail,investing"
5955,1532788,Adpow,Social media growth platform,Media,,2,"Bulgaria, Sofia",,,1000,Bulgaria,Sofia,"platform,Social,Social Media"
6054,1528111,Juzi Entertainment,New media content producer,Music,,2,"Austria, Strass im Zillertal",,,6261,Austria,Strass im Zillertal,Entertainment
6070,1464955,Zylia,ZYLIA Portable Recording Studio. Multi-track music recording with one mic. - ZYLIA,Music,,2,"Uniwersytetu Poznańskiego 2, 61-614 Poznań, Poland",Uniwersytetu Poznańskiego,,,Poland,Poznań,"Outsourcing,sound technology,Audio,Music"
6149,1457714,Sarir Startup Land,فضای کار اشتراکی و شتابدهی سریر – به رویاهات رنگ واقعیت ببخش,Energy,,2,"Iran, Tehran",,,,Iran,Tehran,"Oil & gas,Information Technology"
6164,1456920,Noor Financial Investment,Noor Investment,Energy,,2,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,
6308,1644609,GE Transportation,"GE Transportation manufactures equipment for railroad, marine, mining, drilling, and energy generation industries",Energy,,4,"United States, Chicago",,,60602,United States,Chicago,outside tech
6322,2899256,Sterlite Power,Sterlite Power: Electric Power Transmission Company & Solutions Provider,Energy,,2,"New Delhi, Delhi, India",,,,India,New Delhi,outside tech
6472,1457111,Qatar Solar Technologies,Home | QSTec - Qatar Solar Technologies,Energy,,4,"Qatar, Doha",,,,Qatar,Doha,"solar energy,green technology"
6490,955700,Aggreko,Generator Rental | Temperature Control I Hire Generator I | Aggreko,Energy,,4,"United Kingdom, Glasgow",,,,United Kingdom,Glasgow,"Cooling tech,Recruitment,control systems,temperature,generator,heating,renting,renting"
6507,1761333,Nocart,Nocart is an environmentally conscious energy company using multiple sources to produce high quality green electricity for all needs,Energy,,2,"Niemenkatu 73, 15210 Lahti, Finland",Niemenkatu,73,,Finland,Lahti,"core sustainable impact,sustainable development goals,Affordable and Clean Energy (#7)"
6576,1454569,Vertical Partners West,Custom Battery Designs for OEMs,Energy,Marketing,2,"Ireland, Wicklow",,,,Ireland,Wicklow,"battery,charging technology"
6617,1541128,International Academy of Computer Graphics,IACG as an Industrial Academy is offerin,Gaming,Education,8,"India, Hyderabad",,,500001,India,Hyderabad,
6808,2910448,Alaya Care,Home Care Software | Home Health Software | AlayaCare,Health,,2,"Montreal, QC, Canada",,,H2L,Canada,Montreal,
6830,101454,Health Enterprise Partners,Healthcare Private Equity Firm - Health Enterprise Partners,Health,,3,"United States, New York",,,,United States,New York,"partners,medical / healthcare,healthcare,equity research,Health"
7078,2020451,Messly,Messly | The Doctors' Career Companion,Health,,2,"London, England, United Kingdom",,,SW1A 2,United Kingdom,London,
7080,893127,Safe Orthopaedics,Develops and sells medical devices. The Company specializes in medical products used in spinal surgery,Health,,2,"Allée Rosa Luxemburg, 95610 Éragny, France",Allée Rosa Luxemburg,,95610,France,Éragny,"surgery,medical device"
7176,1452647,"Institute of Information Science, Academia Sinica","Institute of Biological Chemistry, Academia Sinica",Health,,3,"Taiwan, Taipei City",,,110,Taiwan,Taipei City,Biotechnology
7219,949639,Fiagon,Navigation system uses electromagnetic tracking matrix algorithms and the world's first flexible pointer technology,Health,,2,"Neuendorfstraße 23b, 16761 Hennigsdorf Berlin, Germany",Neuendorfstraße,23b,16761,Germany,Hennigsdorf Berlin,"Lead Generation,electromagnetic,Freemium,system engineering,Tracking,Medical Technology,platform,SaaS,Navigation"
7276,1548729,Docplexus,Online platform for doctors where they can communicate with peers and other healthcare service providers,Health,,15,"India, Pune",,,411030,India,Pune,"platform,sharing economy"
7322,1414178,Lumeris,Accountable care delivery innovation company,Health,,2,"United States, St. Louis",,,,United States,St. Louis,"Delivery,consulting services"
7387,1530831,VUmc,University hospital affiliated with the VU University Amsterdam,Health,,8,"Netherlands, Amsterdam",,,1011 MG,Netherlands,Amsterdam,
7517,1532732,Athlone Institute of Technology,"Higher learning academic institute providing courses on business, humanities, engineering and science",Health,,2,"Dublin Rd, Bunnavally, Athlone, Co. Westmeath, Ireland",Dublin Road,,,Ireland,Athlone,
7570,2021419,OnCall Health,"OnCall Health – Online Counselling, Telemedicine, Practice Management",Health,,2,"Toronto, ON, Canada",,,M5H,Canada,Toronto,Messaging
7573,126718,Nanovi,NANOVI | Solutions Improving Cancer TherapyNANOVI | Solutions Improving Cancer Therapy,Health,,2,"Diplomvej, 2800 Kongens Lyngby, Denmark",Diplomvej,,,Denmark,Kongens Lyngby,"oncology,medical / healthcare,therapy,imaging technology,cancer,Biotechnology,Navigation"
7630,1455237,Ditchley Group,Ditchley Group,Health,Real Estate,2,"4th floor, 11 Anglesea St, Ballintemple, Cork, T12 CYR8, Ireland",Anglesea Street,,,Ireland,Cork,"Health Care,hospital"
7631,1457869,Maysaffron,maysaffron,Health,,2,"United Arab Emirates, Abu Dhabi",,,,United Arab Emirates,Abu Dhabi,
7668,892048,Pixyl,Working to improve patient care by placing the most advanced AI tech in the hands of radiologists and clinicians,Health,Enterprise Software,2,"5 Avenue du Grand Sablon, 38700 La Tronche, France",Avenue du Grand Sablon,5,38700,France,La Tronche,"healthcare,neurology,patient care,stroke,Biotechnology,Analytics"
7754,985904,LifeMap Sciences,LifeMap Sciences develops and commercializes next-generation sequencing (NGS) analysis solutions,Health,,2,"Israel, Tel Aviv-Yafo, HaNehoshet Street, 5",HaNehoshet Street,5,,Israel,Tel Aviv-Yafo,"Data Analytics,Medical Technology,regenerative medicine,Biotechnology,Analytics,Health"
7810,1454035,HealthXL,"Connecting healthcare leaders. We bring the people, thinking and technology together #HXLGG

https://t.co/JrfTnC0gLP",Health,,2,"Fleming Court, Flemmings Pl, Ballsbridge, Dublin, Ireland",Flemmings Place,,,Ireland,Dublin,
7863,1466306,Flanders.bio,Home | flanders.bio,Health,,2,"Jean-Baptiste de Ghellincklaan 13, 9051 Gent, Belgium",Jean-Baptiste de Ghellincklaan,,,Belgium,Gent,Biotechnology
7884,1532990,Palvella Therapeutics,Rare disease biopharmaceutical company,Health,,2,"125 Strafford Ave, Wayne, PA 19087, USA",Strafford Avenue,125,19087,United States,Wayne,"biological,Biotech and pharma,disease,pharmaceutical,Biotechnology"
8236,1455545,TeamTalk,,Sports,,2,"London, United Kingdom",,,,United Kingdom,London,"financial service,sport"
8286,1514115,Caissa Touristic,Startseite - Caissa Touristic (Group) AG,Travel,,2,"Burchardstraße 21, 20095 Hamburg, Duitsland",Burchardstraße,,,Germany,Hamburg,"Travel,travel and tourism,tourism"
8337,2734959,Hotel Urbano,"Find Hotels, Resorts, Hostels and more -  Travel Agency | Hurb",Travel,,2,"Av. João Cabral de Mello Neto, 400 - Barra da Tijuca, Rio de Janeiro - RJ, Brazil",Avenida João Cabral de Mello Neto,400,,Brazil,Rio de Janeiro,
8399,880188,Adara Media,ADARA leverages global travel data to drive future business performance,Travel,Telecom,2,"United States, Mountain View",,,,United States,Mountain View,"Travel,user behavior,platform,Search Engine,sharing economy,SaaS,investing"
8427,1395171,Proteus,Proteus helps companies digitally transform to create dramatic efficiencies and grow in the digital age,Travel,,2,"70 Allée Graham Bell, 30000 Nîmes, France",Allée Graham Bell,,,France,Nimes,"adventure,Content Management,platform,SaaS"
8629,1539628,Rayson Technology,"One-stop shopping for EMS/JDMS services with quality, cost-performance, flexibility and creativity",Fashion,,4,China,,,,China,Shenzhen,"outside tech,Shopping"
8637,981478,Oliver Wicks,"Online custom menswear, made of Italian and English wool",Fashion,,2,"Bulgaria, Sofia",,,,Bulgaria,Sofia,"Lifestyle,service provider,Retail"
8645,86757,Shopbop,Shopbop.com Designer Women's Fashion Brands,Fashion,,2,"1301 E Washington Ave, Madison, WI 53703, USA",East Washington Avenue,1301,,United States,Madison,branding
8783,1714246,Steinbeis-Hochschule Berlin,School,Fintech,,8,"Ernst-Augustin-Straße 15, 12489 Berlin, Germany",Ernst-Augustin-Straße,,,Germany,Berlin,
8784,1652614,WalletStar Financial,Company that specializes in financial products,Fintech,,2,"United States, Houston",,,77002,United States,Houston,outside tech
8886,1467159,Northwestern Mutual,Northwestern Mutual | Spend Your Life Living,Fintech,,4,"United States, Milwaukee, E Wisconsin Ave, 720",E Wisconsin Ave,720,53202,United States,Milwaukee,"insurtech,investing"
8934,987759,Penny Royalty,An Alternative Investment Model that issues security token to invest in people's careers,Fintech,,2,"Israel, Tel Aviv-Yafo",,,,Israel,Tel Aviv-Yafo,"Crowdfunding,Innovation Management,platform,SaaS"
8949,1457838,Capira Capital,Capira Capital,Fintech,Real Estate,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,debt collection
8988,1393341,Invencor,Venture capital and private equity firm,Fintech,,2,"United States, San Francisco",,,,United States,San Francisco,"debt collection,investing"
9095,1812778,Oxygen,"Oxygen – Banking for free thinkers, rebels and entrepreneurs. Awarded Best Digital Banking Account in the US",Fintech,,2,"United States, San Francisco",,,94102,United States,San Francisco,Banking
